DATA;JOGADOR 1;JOGADOR 2;JOGADOR 3;JOGADOR 4;PLACAR DUPLA 1;PLACAR DUPLA 2;BUCHUDA DE Rê?;PONTUAR;PAGADOR1;DEB PAG1;COMP PG1;PAGADOR2;DEB PAG2;COMP PG2
03/01/2024;MESTRE;TIA LÈIÄA;÷NDIO;MOLINHO;6;0;N«O;7;÷NDIO;2;OK;MOLINHO;2;OK
31/01/2025;PROFESSOR;APRENDIZ;MESTRE;TIA LÈIÄA;6;0;N«O;7;MESTRE;2;OK;TIA LÈIÄA;2;OK
05/10/2023;CARCAMANO;TATU BOLA;PROFESSOR;MOLINHO;0;6;N«O;7;CARCAMANO;2;OK;TATU BOLA;2;OK
17/01/2024;VOV‚;TATU BOLA;LITR«O;FUMACINHA;0;6;N«O;7;VOV‚;2;OK;TATU BOLA;2;OK
10/07/2024;JOGADOR N«O MEMBRO;÷NDIO;PROFESSOR;LITR«O;0;6;N«O;7;JOGADOR N«O MEMBRO;2;OK;÷NDIO;2;OK
13/10/2025;FUMACINHA;JAPON“S;CARCAMANO;TIA LÈIÄA;0;7;N«O;8;FUMACINHA;$2.00;OK;JAPON“S;$2.00;OK
15/12/2023;MESTRE;TIA LÈIÄA;JOGADOR N«O MEMBRO;MOLINHO;6;0;N«O;7;JOGADOR N«O MEMBRO;2;OK;MOLINHO;2;OK
06/11/2023;MESTRE;TIA LÈIÄA;CARCAMANO;JAPON“S;7;0;N«O;8;CARCAMANO;2;OK;JAPON“S;2;OK
25/06/2024;÷NDIO;PROFESSOR;JOGADOR N«O MEMBRO;TATU BOLA;6;0;N«O;7;JOGADOR N«O MEMBRO;2;OK;TATU BOLA;2;OK
23/07/2024;MOLINHO;SEM PRESSA;FUMACINHA;÷NDIO;0;6;N«O;7;MOLINHO;2;OK;SEM PRESSA;2;OK
31/07/2024;APRENDIZ;TATU BOLA;FUMACINHA;TIA LÈIÄA;0;6;N«O;7;APRENDIZ;2;OK;TATU BOLA;2;OK
13/03/2025;POL÷CIA FEMININA;FUMACINHA;PROFESSOR;MOLINHO;8;0;N«O;9;PROFESSOR;$2.00;OK;MOLINHO;$2.00;OK
05/02/2024;FUMACINHA;TATU BOLA;MESTRE;TIA LÈIÄA;0;6;N«O;7;FUMACINHA;2;OK;TATU BOLA;2;OK
